,Код ОКЭД*,ID РАЙОН,Кол-во людей,oked_total,dist_total,rca,m_cp,rayon
54,11,1966.0,1207.0,178776.0,13956.0,4.308082767747276,1,"Уйгурский район, Алматинская область"
55,11,1968.0,323.0,178776.0,88286.0,0.1822419739921661,0,"Илийский район, Алматинская область"
56,11,2310.0,144.0,178776.0,286088.0,0.02507266970839194,0,"город Атырау, Атырауская область"
57,11,2336.0,14.0,178776.0,30033.0,0.023220258419785013,0,"Жылыойский район, Атырауская область"
58,11,2340.0,11.0,178776.0,8015.0,0.06836390903070524,0,"Индерский район, Атырауская область"
59,11,2342.0,1.0,178776.0,5005.0,0.00995253348253751,0,"Исатайский район, Атырауская область"
60,11,2346.0,6.0,178776.0,11976.0,0.024956127294639394,0,"Курмангазинский район, Атырауская область"
61,11,2348.0,1.0,178776.0,6386.0,0.007800255258393398,0,"Кзылкогинский район, Атырауская область"
62,11,2352.0,2.0,178776.0,5543.0,0.017973094021324278,0,"Макатский район, Атырауская область"
63,11,2356.0,52.0,178776.0,7831.0,0.33076827533714875,0,"Махамбетский район, Атырауская область"
64,11,2710.0,626.0,178776.0,177958.0,0.17522438569855103,0,"город Уральск, Западно-Казахстанская область"
65,11,2732.0,30.0,178776.0,10095.0,0.14803099578038703,0,"Акжаикский район, Западно-Казахстанская область"
66,11,2736.0,121.0,178776.0,45229.0,0.13326193459267568,0,"Бурлинский район, Западно-Казахстанская область"
67,11,2740.0,2.0,178776.0,5724.0,0.01740476243190085,0,"Жангалинский район, Западно-Казахстанская область"
68,11,2742.0,3.0,178776.0,4565.0,0.032735441454611325,0,"Жанибекский район, Западно-Казахстанская область"
69,11,2744.0,1208.0,178776.0,18371.0,3.2754567272745674,1,"район Бәйтерек, Западно-Казахстанская область"
70,11,2754.0,1.0,178776.0,4299.0,0.011586980711816755,0,"Бокейординский район, Западно-Казахстанская область"
71,11,2758.0,127.0,178776.0,5635.0,1.1226581402258615,1,"Сырымский район, Западно-Казахстанская область"
72,11,2760.0,186.0,178776.0,4970.0,1.8642076448488214,1,"Таскалинский район, Западно-Казахстанская область"
73,11,2762.0,278.0,178776.0,10690.0,1.2954027654132707,1,"Теректинский район, Западно-Казахстанская область"
74,11,2766.0,51.0,178776.0,3901.0,0.6512263353204594,0,"Чингирлауский район, Западно-Казахстанская область"
75,11,3110.0,540.0,178776.0,185183.0,0.1452547601197417,0,"город Тараз, Жамбылская область"
76,11,3136.0,367.0,178776.0,18529.0,0.9866243099679846,0,"Байзакский район, Жамбылская область"
77,11,3140.0,436.0,178776.0,14478.0,1.5000842322781947,1,"Жамбылский район, Жамбылская область"
78,11,3142.0,1785.0,178776.0,13663.0,6.507735321157792,1,"Жуалынский район, Жамбылская область"
79,11,3148.0,2952.0,178776.0,33721.0,4.360674167327656,1,"Кордайский район, Жамбылская область"
80,11,3150.0,688.0,178776.0,15380.0,2.228280357289269,1,"район Турара Рыскулова, Жамбылская область"
81,11,3154.0,1062.0,178776.0,19309.0,2.7396965531651793,1,"Меркенский район, Жамбылская область"
82,11,3156.0,87.0,178776.0,8441.0,0.5134085318053216,0,"Мойынкумский район, Жамбылская область"
83,11,3160.0,153.0,178776.0,12965.0,0.5878366218476927,0,"Сарысуский район, Жамбылская область"
84,11,3162.0,21.0,178776.0,12526.0,0.08351117928166253,0,"Таласский район, Жамбылская область"
85,11,3166.0,1325.0,178776.0,22230.0,2.9690269840815477,1,"Шуский район, Жамбылская область"
86,11,3310.0,513.0,178776.0,94504.0,0.2703988892649139,0,"Талдыкорган Г.А., Жетісу"
87,11,3318.0,37.0,178776.0,7688.0,0.23973203862691322,0,"Текели Г.А., Жетісу"
88,11,3332.0,301.0,178776.0,9891.0,1.515877206966957,1,"Аксуский район, Жетісу"
89,11,3334.0,275.0,178776.0,19286.0,0.7102778322113225,0,"Алакольский район, Жетісу"
90,11,3336.0,83.0,178776.0,12067.0,0.3426229963245479,0,"Ескельдинский район, Жетісу"
91,11,3340.0,901.0,178776.0,12913.0,3.475644660587804,1,"Кербулакский район, Жетісу"
92,11,3342.0,1051.0,178776.0,10548.0,4.963297688110101,1,"Коксуский район, Жетісу"
93,11,3344.0,944.0,178776.0,9388.0,5.00883404299261,1,"Каратальский район, Жетісу"
94,11,3346.0,2061.0,178776.0,29808.0,3.4441565484127277,1,"Панфиловский район, Жетісу"
95,11,3348.0,1221.0,178776.0,10316.0,5.8957907258435815,1,"Саркандский район, Жетісу"
96,11,3510.0,754.0,178776.0,308582.0,0.12171342554133285,0,"город Караганда, Карагандинская область"
97,11,3516.0,8.0,178776.0,25392.0,0.015693897315721562,0,"город Балхаш, Карагандинская область"
98,11,3522.0,6.0,178776.0,13058.0,0.022888235601210092,0,"город Сарань, Карагандинская область"
99,11,3524.0,23.0,178776.0,94739.0,0.012093075627168383,0,"город Темиртау, Карагандинская область"
100,11,3528.0,11.0,178776.0,11376.0,0.04816602767942182,0,"город Шахтинск, Карагандинская область"
101,11,3532.0,457.0,178776.0,16238.0,1.401914062483422,1,"Абайский район, Карагандинская область"
102,11,3536.0,1.0,178776.0,4819.0,0.010336673600352819,0,"Актогайский район, Карагандинская область"
103,11,3540.0,751.0,178776.0,15795.0,2.3684162703485456,1,"Бухар-Жырауский район, Карагандинская область"
104,11,3548.0,47.0,178776.0,9773.0,0.23955635053358346,0,"Каркаралинский район, Карагандинская область"
105,11,3552.0,1436.0,178776.0,7744.0,9.236912396051645,1,"Нуринский район, Карагандинская область"
106,11,3556.0,2006.0,178776.0,9403.0,10.626793017194627,1,"Осакаровский район, Карагандинская область"
107,11,3564.0,13.0,178776.0,13551.0,0.04778699660846455,0,"Шетский район, Карагандинская область"
108,11,3910.0,3213.0,178776.0,171613.0,0.9326061420018417,0,"город Костанай, Костанайская область"
109,11,3916.0,905.0,178776.0,12422.0,3.6290653053043562,1,"город Аркалык, Костанайская область"
110,11,3920.0,96.0,178776.0,9354.0,0.5112244267361152,0,"город Лисаковск, Костанайская область"
111,11,3924.0,103.0,178776.0,54941.0,0.0933852732613226,0,"город Рудный, Костанайская область"
112,11,3932.0,1633.0,178776.0,4994.0,16.288285606889005,1,"Алтынсаринский район, Костанайская область"
113,11,3934.0,311.0,178776.0,3937.0,3.934890971529381,1,"Амангельдинский район, Костанайская область"
114,11,3936.0,1962.0,178776.0,10404.0,9.39369356181821,1,"Аулиекольский район, Костанайская область"
115,11,3940.0,1433.0,178776.0,6663.0,10.713074036437586,1,"Денисовский район, Костанайская область"
116,11,3942.0,19.0,178776.0,3196.0,0.29613146793551454,0,"Жангельдинский район, Костанайская область"
117,11,3944.0,884.0,178776.0,14490.0,3.038936383078579,1,"Житикаринский район, Костанайская область"
118,11,3948.0,1472.0,178776.0,4130.0,17.753970236781488,1,"Камыстинский район, Костанайская область"
119,11,3950.0,2334.0,178776.0,9571.0,12.147342159330682,1,"Карабалыкский район, Костанайская область"
120,11,3952.0,3701.0,178776.0,8585.0,21.474176322242396,1,"Карасуский район, Костанайская область"
121,11,3954.0,3237.0,178776.0,22748.0,7.08822033450345,1,"Костанайский район, Костанайская область"
122,11,3956.0,2328.0,178776.0,7334.0,15.811744917708392,1,"Мендыкаринский район, Костанайская область"
123,11,3958.0,557.0,178776.0,2762.0,10.045446616443096,1,"Наурзумский район, Костанайская область"
124,11,3962.0,2225.0,178776.0,6709.0,16.519996561070652,1,"Сарыкольский район, Костанайская область"
125,11,3964.0,1416.0,178776.0,7659.0,9.209348608620177,1,"район Беимбета Майлина, Костанайская область"
126,11,3966.0,2007.0,178776.0,5591.0,17.881156710921335,1,"Узункольский район, Костанайская область"
127,11,3968.0,2964.0,178776.0,9090.0,16.242468950210903,1,"Федоровский район, Костанайская область"
128,11,4310.0,120.0,178776.0,155732.0,0.03838319426715144,0,"город Кызылорда, Кызылординская область"
129,11,4332.0,20.0,178776.0,19630.0,0.050751329679164785,0,"Аральский район, Кызылординская область"
130,11,4336.0,971.0,178776.0,10007.0,4.833403578272941,1,"Жалагашский район, Кызылординская область"
131,11,4340.0,667.0,178776.0,21012.0,1.5812340978215713,1,"Жанакорганский район, Кызылординская область"
132,11,4344.0,135.0,178776.0,19298.0,0.34846502543338853,0,"Казалинский район, Кызылординская область"
133,11,4346.0,1243.0,178776.0,11843.0,5.228139034836156,1,"Кармакшинский район, Кызылординская область"
134,11,4348.0,1792.0,178776.0,10649.0,8.382371556347039,1,"Сырдарьинский район, Кызылординская область"
135,11,4352.0,525.0,178776.0,23281.0,1.1232990761587829,1,"Чиилийский район, Кызылординская область"
136,11,4710.0,50.0,178776.0,183315.0,0.013586566860349734,0,"город Актау, Мангистауская область"
137,11,4718.0,40.0,178776.0,53223.0,0.03743676987775979,0,"город Жанаозен, Мангистауская область"
138,11,4736.0,7.0,178776.0,15092.0,0.023104095584462074,0,"Бейнеуский район, Мангистауская область"
139,11,4742.0,8.0,178776.0,7956.0,0.05008791360492733,0,"Каракиянский район, Мангистауская область"
140,11,4746.0,3.0,178776.0,10506.0,0.014223994882952666,0,"Мангистауский район, Мангистауская область"
141,11,4750.0,14.0,178776.0,29499.0,0.02364059870237646,0,"Мунайлинский район, Мангистауская область"
142,11,4752.0,4.0,178776.0,11275.0,0.017671815549481235,0,"Тупкараганский район, Мангистауская область"
143,11,5510.0,777.0,178776.0,221005.0,0.17512842773800538,0,"город Павлодар, Павлодарская область"
144,11,5516.0,703.0,178776.0,19072.0,1.8361020525540304,1,"город Аксу, Павлодарская область"
145,11,5522.0,804.0,178776.0,60356.0,0.6635495026907116,0,"город Экибастуз, Павлодарская область"
146,11,5532.0,95.0,178776.0,4274.0,1.1072018852619379,1,"Актогайский район, Павлодарская область"
147,11,5536.0,1.0,178776.0,9378.0,0.005311626154841142,0,"Баянаульский район, Павлодарская область"
148,11,5542.0,961.0,178776.0,5009.0,9.556746916944764,1,"Железинский район, Павлодарская область"
149,11,5546.0,562.0,178776.0,5122.0,5.465557537098074,1,"Иртышский район, Павлодарская область"
150,11,5548.0,1424.0,178776.0,6269.0,11.314866874152614,1,"район Тереңкөл, Павлодарская область"
151,11,5552.0,20.0,178776.0,3311.0,0.30089054714648283,0,"район Аққулы, Павлодарская область"
152,11,5556.0,20.0,178776.0,3543.0,0.28118786384476563,0,"Майский район, Павлодарская область"
153,11,5560.0,796.0,178776.0,6821.0,5.813032450338628,1,"Павлодарский район, Павлодарская область"
154,11,5564.0,516.0,178776.0,4283.0,6.00121735263407,1,"Успенский район, Павлодарская область"
155,11,5568.0,580.0,178776.0,7110.0,4.063461244227586,1,"Щербактинский район, Павлодарская область"
156,11,5910.0,820.0,178776.0,117132.0,0.34871933088893037,0,"город Петропавловск, Северо-Казахстанская область"
157,11,5932.0,2949.0,178776.0,11018.0,13.332442939391502,1,"Айыртауский район, Северо-Казахстанская область"
158,11,5934.0,1167.0,178776.0,5169.0,11.246102902587923,1,"Акжарский район, Северо-Казахстанская область"
159,11,5936.0,2364.0,178776.0,8603.0,13.687851297147152,1,"Район Магжана Жумабаева, Северо-Казахстанская область"
160,11,5942.0,2928.0,178776.0,7792.0,18.718017874041774,1,"Есильский район, Северо-Казахстанская область"
161,11,5946.0,2108.0,178776.0,7097.0,14.795632324764167,1,"Жамбылский район, Северо-Казахстанская область"
162,11,5950.0,3046.0,178776.0,14390.0,10.544034887003845,1,"Кызылжарский район, Северо-Казахстанская область"
163,11,5952.0,2010.0,178776.0,6475.0,15.46300918316625,1,"Мамлютский район, Северо-Казахстанская область"
164,11,5956.0,1063.0,178776.0,6338.0,8.354467209710721,1,"Район Шал акына, Северо-Казахстанская область"
165,11,5958.0,1660.0,178776.0,7363.0,11.230291176553903,1,"Аккайынский район, Северо-Казахстанская область"
166,11,5960.0,4429.0,178776.0,15814.0,13.950882308382695,1,"Тайыншинский район, Северо-Казахстанская область"
167,11,5962.0,1665.0,178776.0,4573.0,18.136386635330613,1,"Тимирязевский район, Северо-Казахстанская область"
168,11,5964.0,706.0,178776.0,4677.0,7.51925927657703,1,"Уалихановский район, Северо-Казахстанская область"
169,11,5966.0,3272.0,178776.0,14342.0,11.364263786228419,1,"Район им.Габита Мусрепова, Северо-Казахстанская область"
170,11,6110.0,409.0,178776.0,114786.0,0.17748927484850938,0,"город Туркестан, Туркестанская область"
171,11,6116.0,324.0,178776.0,19481.0,0.8284599017479839,0,"город Арысь, Туркестанская область"
172,11,6120.0,181.0,178776.0,20413.0,0.44168176380238783,0,"город Кентау, Туркестанская область"
173,11,6136.0,415.0,178776.0,14457.0,1.4299065147154733,1,"район Байдибека, Туркестанская область"
174,11,6138.0,4053.0,178776.0,35807.0,5.63827684851136,1,"Жетисайский район, Туркестанская область"
175,11,6139.0,1765.0,178776.0,22639.0,3.8835168996588596,1,"Келесский район, Туркестанская область"
176,11,6140.0,1888.0,178776.0,25393.0,3.703613908999694,1,"Казыгуртский район, Туркестанская область"
177,11,6144.0,3144.0,178776.0,25486.0,6.144953314440678,1,"Мактааральский район, Туркестанская область"
178,11,6146.0,1195.0,178776.0,28110.0,2.117604195863386,1,"Ордабасынский район, Туркестанская область"
179,11,6148.0,556.0,178776.0,15788.0,1.7542254322609407,1,"Отрарский район, Туркестанская область"
180,11,6152.0,1942.0,178776.0,51659.0,1.872582497058686,1,"Сайрамский район, Туркестанская область"
181,11,6154.0,1628.0,178776.0,41141.0,1.9711391597288153,1,"Сарыагашский район, Туркестанская область"
182,11,6155.0,1472.0,178776.0,16966.0,4.321814044436375,1,"район Сауран, Туркестанская область"
183,11,6156.0,152.0,178776.0,29088.0,0.26029597676620037,0,"Сузакский район, Туркестанская область"
184,11,6158.0,946.0,178776.0,24226.0,1.9451233738865195,1,"Толебийский район, Туркестанская область"
185,11,6160.0,703.0,178776.0,20359.0,1.7200323368687294,1,"Тюлькубасский район, Туркестанская область"
186,11,6164.0,1284.0,178776.0,16826.0,3.8012100453374957,1,"Шардаринский район, Туркестанская область"
187,11,6210.0,31.0,178776.0,64957.0,0.02377242379548174,0,"Жезказган Г.А., Улытау"
188,11,6218.0,2.0,178776.0,6298.0,0.01581849161006676,0,"Каражал Г.А., Улытау"
189,11,6220.0,10.0,178776.0,17348.0,0.028713644270290654,0,"Сатпаев Г.А., Улытау"
190,11,6236.0,83.0,178776.0,7662.0,0.5396021530472879,0,"Жанааркинский район, Улытау"
191,11,6238.0,4.0,178776.0,4428.0,0.044997678482475365,0,"Улытауский район, Улытау"
192,11,6310.0,468.0,178776.0,220373.0,0.10578526987193036,0,"город Усть-Каменогорск, Восточно-Казахстанская область"
193,11,6324.0,51.0,178776.0,16091.0,0.15787918302685428,0,"город Риддер, Восточно-Казахстанская область"
194,11,6340.0,1629.0,178776.0,20140.0,4.029019294959448,1,"Глубоковский район, Восточно-Казахстанская область"
195,11,6346.0,332.0,178776.0,9854.0,1.6782755009735415,1,"Зайсанский район, Восточно-Казахстанская область"
196,11,6348.0,921.0,178776.0,19089.0,2.4033342817210075,1,"район Алтай, Восточно-Казахстанская область"
197,11,6352.0,126.0,178776.0,5856.0,1.071783843936583,1,"Курчумский район, Восточно-Казахстанская область"
198,11,6354.0,227.0,178776.0,5042.0,2.2426460984099075,1,"Катон-Карагайский район, Восточно-Казахстанская область"
199,11,6355.0,58.0,178776.0,2026.0,1.4260221839317935,1,"район Марқакөл, Восточно-Казахстанская область"
200,11,6356.0,611.0,178776.0,5832.0,5.218689091039308,1,"Cамарский район, Восточно-Казахстанская область"
201,11,6358.0,45.0,178776.0,6850.0,0.32723494213204535,0,"Тарбагатайский район, Восточно-Казахстанская область"
202,11,6362.0,544.0,178776.0,11336.0,2.390434188741578,1,"Уланский район, Восточно-Казахстанская область"
203,11,6363.0,238.0,178776.0,3533.0,3.355606668288666,1,"район Үлкен Нарын, Восточно-Казахстанская область"
204,11,6368.0,2270.0,178776.0,13227.0,8.548742442112916,1,"Шемонаихинский район, Восточно-Казахстанская область"
205,11,7100.0,1471.0,178776.0,1045899.0,0.07005847089233994,0,"г.Астана, г.Астана"
206,11,7500.0,1978.0,178776.0,1762989.0,0.05588746537751413,0,"г.Алматы, г.Алматы"
207,12,1010.0,52.0,3889.0,149844.0,0.7946446939599047,0,"Семей Г.А., Абай"
208,12,1032.0,176.0,3889.0,4910.0,82.08053484186166,1,"Абайский район, Абай"
209,12,1034.0,11.0,3889.0,6562.0,3.838534612861368,1,"район Ақсуат, Абай"
210,12,1036.0,13.0,3889.0,22481.0,1.324148609066856,1,"Аягозский район, Абай"
211,12,1038.0,1.0,3889.0,4778.0,0.4792508110962422,0,"Бескарагайский район, Абай"
212,12,1040.0,10.0,3889.0,10762.0,2.1277275370914746,1,"Бородулихинский район, Абай"
213,12,1041.0,4.0,3889.0,3307.0,2.76971318466023,1,"район Жаңасемей, Абай"
214,12,1042.0,9.0,3889.0,13562.0,1.5195947042295095,1,"Жарминский район, Абай"
215,12,1045.0,5.0,3889.0,4901.0,2.3361154615566675,1,"район Мақаншы, Абай"
216,12,1046.0,23.0,3889.0,11798.0,4.464043790016142,1,"Урджарский район, Абай"
217,12,1110.0,6.0,3889.0,111410.0,0.12332072751554682,0,"город Кокшетау, Акмолинская область"
218,12,1140.0,1.0,3889.0,11546.0,0.1983249935404335,0,"Буландынский район, Акмолинская область"
219,12,1154.0,7.0,3889.0,5977.0,2.681783943102713,1,"Жаркаинский район, Акмолинская область"
220,12,1156.0,2.0,3889.0,14981.0,0.30570193917867233,0,"Зерендинский район, Акмолинская область"
221,12,1164.0,2.0,3889.0,6650.0,0.6886798121557428,0,"Сандыктауский район, Акмолинская область"
222,12,1166.0,1.0,3889.0,23910.0,0.09576998642483668,0,"Целиноградский район, Акмолинская область"
223,12,1168.0,22.0,3889.0,8025.0,6.27749884849752,1,"Шортандинский район, Акмолинская область"
224,12,1510.0,28.0,3889.0,308240.0,0.20800704162892442,0,"город Актобе, Актюбинская область"
225,12,1534.0,18.0,3889.0,6521.0,6.320730985664961,1,"Айтекебийский район, Актюбинская область"
226,12,1542.0,2.0,3889.0,5219.0,0.8775092452262292,0,"Хобдинский район, Актюбинская область"
227,12,1546.0,2.0,3889.0,8287.0,0.5526391638512961,0,"Мартукский район, Актюбинская область"
228,12,1548.0,2.0,3889.0,17271.0,0.26516824450441145,0,"Мугалжарский район, Актюбинская область"
229,12,1556.0,7.0,3889.0,7659.0,2.09283491682007,1,"Темирский район, Актюбинская область"
230,12,1564.0,2.0,3889.0,10286.0,0.4452382608240026,0,"Шалкарский район, Актюбинская область"
231,12,1568.0,20.0,3889.0,4781.0,9.579001779618677,1,"Иргизский район, Актюбинская область"
232,12,1910.0,6.0,3889.0,51523.0,0.26666075835077674,0,"Қонаев Г.А., Алматинская область"
233,12,1936.0,3.0,3889.0,7252.0,0.9472671161408626,0,"Балхашский район, Алматинская область"
234,12,1940.0,1034.0,3889.0,56538.0,41.878305355372525,1,"Енбекшиказахский район, Алматинская область"
235,12,1942.0,6.0,3889.0,32755.0,0.4194523661275246,0,"Жамбылский район, Алматинская область"
236,12,1944.0,1.0,3889.0,6843.0,0.3346281419578906,0,"Кегенский район, Алматинская область"
237,12,1952.0,77.0,3889.0,90080.0,1.9573628875130338,1,"Карасайский район, Алматинская область"
238,12,1962.0,246.0,3889.0,75705.0,7.440798525233338,1,"Талгарский район, Алматинская область"
239,12,1966.0,79.0,3889.0,13956.0,12.962092982087258,1,"Уйгурский район, Алматинская область"
240,12,1968.0,22.0,3889.0,88286.0,0.5706106093739958,0,"Илийский район, Алматинская область"
241,12,2310.0,13.0,3889.0,286088.0,0.104052546350885,0,"город Атырау, Атырауская область"
242,12,2336.0,4.0,3889.0,30033.0,0.30497923955886463,0,"Жылыойский район, Атырауская область"
243,12,2340.0,12.0,3889.0,8015.0,3.4283623836574098,1,"Индерский район, Атырауская область"
244,12,2342.0,1.0,3889.0,5005.0,0.45751456052304595,0,"Исатайский район, Атырауская область"
245,12,2346.0,4.0,3889.0,11976.0,0.7648164246552589,0,"Курмангазинский район, Атырауская область"
246,12,2348.0,9.0,3889.0,6386.0,3.227175599555372,1,"Кзылкогинский район, Атырауская область"
247,12,2710.0,61.0,3889.0,177958.0,0.7849126361303709,0,"город Уральск, Западно-Казахстанская область"
248,12,2732.0,10.0,3889.0,10095.0,2.268311416956756,1,"Акжаикский район, Западно-Казахстанская область"
249,12,2744.0,52.0,3889.0,18371.0,6.4815600414636085,1,"район Бәйтерек, Западно-Казахстанская область"
250,12,2754.0,8.0,3889.0,4299.0,4.2611963255042475,1,"Бокейординский район, Западно-Казахстанская область"
251,12,2760.0,2.0,3889.0,4970.0,0.9214729880957123,0,"Таскалинский район, Западно-Казахстанская область"
252,12,2762.0,4.0,3889.0,10690.0,0.8568233397260412,0,"Теректинский район, Западно-Казахстанская область"
253,12,2766.0,1.0,3889.0,3901.0,0.5869931749340798,0,"Чингирлауский район, Западно-Казахстанская область"
254,12,3110.0,34.0,3889.0,185183.0,0.42042332592196224,0,"город Тараз, Жамбылская область"
255,12,3136.0,15.0,3889.0,18529.0,1.8537376885567314,1,"Байзакский район, Жамбылская область"
