,id3,color.1,group
465,32,#00B050,"Сельское, лесное и рыбное хозяйство"
474,161,#a6a6a6,Обрабатывающая промышленность
475,221,#a6a6a6,Обрабатывающая промышленность
477,203,#a6a6a6,Обрабатывающая промышленность
479,272,#a6a6a6,Обрабатывающая промышленность
486,255,#a6a6a6,Обрабатывающая промышленность
489,245,#a6a6a6,Обрабатывающая промышленность
494,281,#a6a6a6,Обрабатывающая промышленность
498,13,#00B050,"Сельское, лесное и рыбное хозяйство"
504,232,#a6a6a6,Обрабатывающая промышленность
508,321,#a6a6a6,Обрабатывающая промышленность
523,132,#a6a6a6,Обрабатывающая промышленность
525,301,#a6a6a6,Обрабатывающая промышленность
529,383,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
531,390,#375fac,"Электроснабжение, подача газа, пара и воздушное  кондиционирование"
535,559,#ff33a3,Локальные услуги
543,799,#ff33a3,Локальные услуги
545,782,#ff33a3,Локальные услуги
552,202,#a6a6a6,Обрабатывающая промышленность
556,702,#ffc000,Креативные услуги
559,772,#ff33a3,Локальные услуги
568,143,#a6a6a6,Обрабатывающая промышленность
573,253,#a6a6a6,Обрабатывающая промышленность
574,22,#00B050,"Сельское, лесное и рыбное хозяйство"
579,504,#b9ede0,Транспорт и складирование
581,211,#a6a6a6,Обрабатывающая промышленность
584,601,#ffc000,Креативные услуги
593,17,#00B050,"Сельское, лесное и рыбное хозяйство"
594,582,#ffc000,Креативные услуги
599,262,#a6a6a6,Обрабатывающая промышленность
606,62,#000000,Горнодобывающая промышленность и разработка карьеров
624,279,#a6a6a6,Обрабатывающая промышленность
627,274,#a6a6a6,Обрабатывающая промышленность
637,206,#a6a6a6,Обрабатывающая промышленность
654,613,#fe0000,Бизнес  услуги
657,304,#a6a6a6,Обрабатывающая промышленность
658,662,#fe0000,Бизнес  услуги
662,151,#a6a6a6,Обрабатывающая промышленность
664,265,#a6a6a6,Обрабатывающая промышленность
665,774,#ff33a3,Локальные услуги
671,643,#fe0000,Бизнес  услуги
681,324,#a6a6a6,Обрабатывающая промышленность
683,512,#b9ede0,Транспорт и складирование
688,266,#a6a6a6,Обрабатывающая промышленность
699,257,#a6a6a6,Обрабатывающая промышленность
700,263,#a6a6a6,Обрабатывающая промышленность
